Entity,Code,Year,Share of the population with access to electricity
Colombia,COL,1990,89.9
Colombia,COL,1991,91.836655
Colombia,COL,1992,92.13266
Colombia,COL,1993,92.42799
Colombia,COL,1994,92.72196
Colombia,COL,1995,91.2
Colombia,COL,1996,93.3031
Colombia,COL,1997,93.58891
Colombia,COL,1998,93.87064
Colombia,COL,1999,94.14753
Colombia,COL,2000,95.2
Colombia,COL,2001,98.5
Colombia,COL,2002,94.9
Colombia,COL,2003,95.1
Colombia,COL,2004,95.3
Colombia,COL,2005,96.8
Colombia,COL,2006,95.7
Colombia,COL,2007,96
Colombia,COL,2008,96.8
Colombia,COL,2009,96.1
Colombia,COL,2010,96.8
Colombia,COL,2011,96.7
Colombia,COL,2012,97
Colombia,COL,2013,97.8
Colombia,COL,2014,97.8
Colombia,COL,2015,98.2
Colombia,COL,2016,98.4
Colombia,COL,2017,98.5
Colombia,COL,2018,98.5
Colombia,COL,2019,99.4
Colombia,COL,2020,99.7
Colombia,COL,2021,100
Colombia,COL,2022,100
Colombia,COL,2023,98.7
Kenya,KEN,1993,10.9
Kenya,KEN,1994,3.4734368
Kenya,KEN,1995,5.4273434
Kenya,KEN,1996,7.3785305
Kenya,KEN,1997,9.326318
Kenya,KEN,1998,14.5
Kenya,KEN,1999,13.208892
Kenya,KEN,2000,15.2
Kenya,KEN,2001,17
Kenya,KEN,2002,18.9
Kenya,KEN,2003,16
Kenya,KEN,2004,22.6
Kenya,KEN,2005,24.5
Kenya,KEN,2006,26.4
Kenya,KEN,2007,28.3
Kenya,KEN,2008,30.3
Kenya,KEN,2009,23
Kenya,KEN,2010,19.2
Kenya,KEN,2011,36.2
Kenya,KEN,2012,38.1
Kenya,KEN,2013,40.1
Kenya,KEN,2014,36
Kenya,KEN,2015,41.6
Kenya,KEN,2016,53.1
Kenya,KEN,2017,55.8
Kenya,KEN,2018,61.2
Kenya,KEN,2019,69.7
Kenya,KEN,2020,71.5
Kenya,KEN,2021,76.5
Kenya,KEN,2022,76
Kenya,KEN,2023,76.2
Myanmar,MMR,2000,41.9
Myanmar,MMR,2001,43
Myanmar,MMR,2002,47
Myanmar,MMR,2003,45.1
Myanmar,MMR,2004,46.2
Myanmar,MMR,2005,47.3
Myanmar,MMR,2006,48.4
Myanmar,MMR,2007,49.5
Myanmar,MMR,2008,50.6
