Entity,Code,Year,rate,continent
Colombia,COL,1990,74.99984,South America
Colombia,COL,1991,85.877335,South America
Colombia,COL,1992,83.482,South America
Colombia,COL,1993,82.57777,South America
Colombia,COL,1994,77.08795,South America
Colombia,COL,1995,62.34104,South America
Colombia,COL,1996,64.037964,South America
Colombia,COL,1997,62.498066,South America
Colombia,COL,1998,61.094673,South America
Colombia,COL,1999,63.333992,South America
Colombia,COL,2000,67.89216,South America
Colombia,COL,2001,70.10959,South America
Colombia,COL,2002,70.396095,South America
Colombia,COL,2003,57.46086,South America
Colombia,COL,2004,48.648186,South America
Colombia,COL,2005,42.989414,South America
Colombia,COL,2006,40.942974,South America
Colombia,COL,2007,39.777615,South America
Colombia,COL,2008,36.884003,South America
Colombia,COL,2009,35.72724,South America
Colombia,COL,2010,34.524174,South America
Colombia,COL,2011,35.63221,South America
Colombia,COL,2012,35.9613,South America
Colombia,COL,2013,33.41597,South America
Colombia,COL,2014,28.654305,South America
Colombia,COL,2015,27.215279,South America
Colombia,COL,2016,26.143867,South America
Colombia,COL,2017,25.551058,South America
Colombia,COL,2018,23.820759,South America
Colombia,COL,2019,23.399061,South America
Colombia,COL,2020,22.642704,South America
Colombia,COL,2021,25.580128,South America
Colombia,COL,2022,24.948807,South America
Colombia,COL,2023,24.913443,South America
Kenya,KEN,2004,3.4560087,Africa
Kenya,KEN,2005,3.027113,Africa
Kenya,KEN,2006,2.996856,Africa
Kenya,KEN,2007,2.8963346,Africa
Kenya,KEN,2008,3.0994468,Africa
Kenya,KEN,2009,4.720446,Africa
Kenya,KEN,2010,4.629967,Africa
Kenya,KEN,2011,5.3112297,Africa
Kenya,KEN,2012,5.4091864,Africa
Kenya,KEN,2014,5.0052724,Africa
Kenya,KEN,2015,4.8015943,Africa
Kenya,KEN,2016,4.908632,Africa
Kenya,KEN,2017,5.0124226,Africa
Kenya,KEN,2018,3.1250556,Africa
Kenya,KEN,2019,3.077955,Africa
Kenya,KEN,2020,3.5601206,Africa
Kenya,KEN,2021,5.2537465,Africa
Kenya,KEN,2022,4.8716683,Africa
Myanmar,MMR,1990,5.1384764,Asia
Myanmar,MMR,1995,3.7859106,Asia
Myanmar,MMR,2000,2.298478,Asia
Myanmar,MMR,2001,2.0012612,Asia
Myanmar,MMR,2002,1.7606604,Asia
Myanmar,MMR,2003,1.6371244,Asia
Myanmar,MMR,2004,1.5785413,Asia
Myanmar,MMR,2005,1.425007,Asia
Myanmar,MMR,2006,1.6260287,Asia
Myanmar,MMR,2007,1.5563623,Asia
Myanmar,MMR,2008,1.6346085,Asia
Myanmar,MMR,2009,1.8063948,Asia
Myanmar,MMR,2010,1.6338809,Asia
Myanmar,MMR,2011,2.134771,Asia
Myanmar,MMR,2012,2.8813674,Asia
Myanmar,MMR,2013,2.463061,Asia
Myanmar,MMR,2014,2.4269147,Asia
Myanmar,MMR,2015,2.548491,Asia
Myanmar,MMR,2016,2.6002173,Asia
Myanmar,MMR,2017,2.6823425,Asia
Myanmar,MMR,2018,2.7777648,Asia
Myanmar,MMR,2019,2.8855991,Asia
Myanmar,MMR,2020,2.9632273,Asia
Myanmar,MMR,2021,28.656734,Asia
Myanmar,MMR,2022,3.902763,Asia
Myanmar,MMR,2023,2.5751011,Asia
Nigeria,NGA,2016,32.43901,Africa
Nigeria,NGA,2019,21.099298,Africa
Nigeria,NGA,2023,15.746681,Africa
Norway,NOR,1990,1.1081144,Europe
Norway,NOR,1991,1.1732621,Europe
Norway,NOR,1992,1.0731965,Europe
Norway,NOR,1993,0.8812898,Europe
Norway,NOR,1994,0.7609882,Europe
Norway,NOR,1995,0.9635254,Europe
Norway,NOR,1996,0.98148096,Europe
Norway,NOR,1997,0.86265874,Europe
Norway,NOR,1998,0.85753363,Europe
Norway,NOR,1999,0.73961395,Europe
Norway,NOR,2000,1.068836,Europe
Norway,NOR,2001,0.8197344,Europe
Norway,NOR,2002,1.0136592,Europe
Norway,NOR,2004,0.7840161,Europe
Norway,NOR,2005,0.71380305,Europe
Norway,NOR,2006,0.70807946,Europe
Norway,NOR,2007,0.63707656,Europe
Norway,NOR,2008,0.7130721,Europe
Norway,NOR,2009,0.60058534,Europe
Norway,NOR,2010,0.5931487,Europe
Norway,NOR,2011,2.2410805,Europe
Norway,NOR,2012,0.53801394,Europe
Norway,NOR,2013,0.9054896,Europe
Norway,NOR,2014,0.5644884,Europe
Norway,NOR,2015,0.46244815,Europe
Norway,NOR,2016,0.5156625,Europe
Norway,NOR,2017,0.5306244,Europe
Norway,NOR,2018,0.47065446,Europe
Norway,NOR,2019,0.5235866,Europe
Norway,NOR,2020,0.576286,Europe
Norway,NOR,2021,0.5362336,Europe
Norway,NOR,2022,0.5497726,Europe
